,num_docks_available,num_bikes_available,legacy_id,is_returning,station_id,is_installed,is_renting,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,last_reported,num_bikes_disabled,last_update,num_scooters_unavailable,num_scooters_available
139,7,13,4332,1,f3140fb8-347b-4dca-96df-eeef2d1bfc50,1,1,2,False,0,1691630439,1,2023-08-10 01:15:11.129474,0.0,0.0
140,36,3,3712,1,a47f77a2-9008-4652-a4f1-b95eee723a1b,1,1,1,False,0,1691630439,1,2023-08-10 01:15:11.129474,0.0,0.0
141,1,16,3330,1,66de0a78-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630439,1,2023-08-10 01:15:11.129474,0.0,0.0
142,0,19,4201,1,99614ecb-2329-49fa-a13a-fa1ef2bb32d6,1,1,0,False,0,1691630439,1,2023-08-10 01:15:11.129474,0.0,0.0
143,18,0,4102,1,abc1311e-e000-4211-af9e-0cf92242711e,1,1,0,False,2,1691630439,2,2023-08-10 01:15:11.129474,0.0,0.0
144,8,12,5028,1,d5cabb43-6c78-4022-964e-a8b02470509e,1,1,4,False,0,1691630440,3,2023-08-10 01:15:11.129474,0.0,0.0
145,4,17,4940,1,d470e82e-d109-4e2e-b66a-f5e944cbfe97,1,1,2,False,0,1691630440,0,2023-08-10 01:15:11.129474,0.0,0.0
146,8,11,5008,1,e92414a8-e72f-4a69-a5a1-7f50f4c881e5,1,1,1,False,0,1691630442,0,2023-08-10 01:15:11.129474,0.0,0.0
147,0,19,4961,1,525535e3-dde3-47b4-9c2e-0174eaa4f2bb,1,1,1,False,0,1691630442,2,2023-08-10 01:15:11.129474,0.0,0.0
148,0,22,3676,1,633fbc4c-7617-47ba-a393-aad7a8d26a3e,1,1,0,False,0,1691630442,2,2023-08-10 01:15:11.129474,0.0,0.0
149,11,8,4908,1,4efda436-cd19-4ec3-acc7-1a622f723264,1,1,0,False,0,1691630442,0,2023-08-10 01:15:11.129474,0.0,0.0
150,3,20,4006,1,4c03fa2d-89da-4f0b-8f19-c7de5edbe256,1,1,0,False,0,1691630443,2,2023-08-10 01:15:11.129474,0.0,0.0
151,1,27,4225,1,cbf76774-1276-4cf8-9442-f00571f1451c,1,1,2,False,1,1691630442,4,2023-08-10 01:15:11.129474,0.0,0.0
152,19,50,363,1,66dbcbbc-0aca-11e7-82f6-3863bb44ef7c,1,1,1,False,0,1691630442,4,2023-08-10 01:15:11.129474,0.0,0.0
153,4,17,1822663031356509142,1,1822663031356509142,1,1,0,False,0,1691630442,0,2023-08-10 01:15:11.129474,0.0,0.0
154,18,3,4471,1,d45b62b9-7d6b-43b2-bf1e-2c898c55dfd2,1,1,1,False,0,1691630441,0,2023-08-10 01:15:11.129474,0.0,0.0
155,12,7,4014,1,4f814d78-5d8d-458b-877e-2ca449b865be,1,1,3,False,0,1691630441,3,2023-08-10 01:15:11.129474,0.0,0.0
156,21,3,3944,1,44fa161f-eb62-459b-b53e-da83788cfa2a,1,1,0,False,0,1691630445,5,2023-08-10 01:15:11.129474,0.0,0.0
157,20,3,3310,1,66ddec3e-0aca-11e7-82f6-3863bb44ef7c,1,1,1,False,0,1691630445,1,2023-08-10 01:15:11.129474,0.0,0.0
158,1,44,3786,1,e625e677-d175-4902-9764-d92716d86fd5,1,1,5,False,0,1691630445,1,2023-08-10 01:15:11.129474,0.0,0.0
159,2,61,317,1,66db76a1-0aca-11e7-82f6-3863bb44ef7c,1,1,3,False,1,1691630446,3,2023-08-10 01:15:11.129474,0.0,0.0
160,4,10,4156,1,bf880f45-422c-4e0b-b3b0-2b1f5ba94da4,1,1,5,False,0,1691630447,5,2023-08-10 01:15:11.129474,0.0,0.0
161,13,22,511,1,66dc7ba2-0aca-11e7-82f6-3863bb44ef7c,1,1,1,False,4,1691630447,5,2023-08-10 01:15:11.129474,0.0,0.0
162,5,11,3936,1,22ab59a8-0af4-4101-9350-a7af88e37c2e,1,1,1,False,0,1691630448,3,2023-08-10 01:15:11.129474,0.0,0.0
163,1,18,3422,1,66de63cd-0aca-11e7-82f6-3863bb44ef7c,1,1,1,False,0,1691630443,2,2023-08-10 01:15:11.129474,0.0,0.0
164,7,17,4200,1,2a66ed0a-5e6d-4893-a1d1-876bb2bac4be,1,1,4,False,0,1691630446,2,2023-08-10 01:15:11.129474,0.0,0.0
165,20,8,3699,1,b442a648-e9f4-4893-951a-64d258bc0e55,1,1,0,False,1,1691630447,1,2023-08-10 01:15:11.129474,0.0,0.0
166,2,58,350,1,66dbc420-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,1,1691630444,8,2023-08-10 01:15:11.129474,0.0,0.0
167,2,20,3387,1,66de43a5-0aca-11e7-82f6-3863bb44ef7c,1,1,8,False,1,1691630444,2,2023-08-10 01:15:11.129474,0.0,0.0
168,3,19,3396,1,66de4959-0aca-11e7-82f6-3863bb44ef7c,1,1,3,False,0,1691630444,3,2023-08-10 01:15:11.129474,0.0,0.0
169,3,10,3060,1,66dcc8b3-0aca-11e7-82f6-3863bb44ef7c,1,1,1,False,1,1691630446,4,2023-08-10 01:15:11.129474,0.0,0.0
170,18,7,3959,1,0ddb965d-95ef-4ce3-bde6-81a56ac1fbd2,1,1,1,False,1,1691630452,4,2023-08-10 01:15:11.129474,0.0,0.0
171,6,11,4131,1,cc5f0e68-dd5f-4db1-81c7-04a4d6674fba,1,1,1,False,0,1691630453,2,2023-08-10 01:15:11.129474,0.0,0.0
