,num_docks_disabled,is_returning,is_renting,last_reported,num_docks_available,num_bikes_disabled,station_id,is_installed,station_status,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,last_update,eightd_active_station_services,valet
169,1,1671502843,439,active,1,8,32,False,0,439,1,3,1,2022-12-20 02:15:58.023140,,
170,1,1671500639,440,active,1,28,3,False,0,440,1,1,1,2022-12-20 02:15:58.023140,,
171,1,1671503039,442,active,1,19,29,False,0,442,1,3,2,2022-12-20 02:15:58.023140,,
172,1,1671494750,443,active,1,16,6,False,0,443,1,2,1,2022-12-20 02:15:58.023140,,
173,1,1671502967,445,active,1,75,30,False,0,445,1,9,0,2022-12-20 02:15:58.023140,,
174,1,1671502935,446,active,1,3,73,False,0,446,1,14,2,2022-12-20 02:15:58.023140,,
175,1,1671502907,447,active,1,17,13,False,0,447,1,6,0,2022-12-20 02:15:58.023140,,
176,1,1671502928,448,active,1,18,6,False,0,448,1,5,1,2022-12-20 02:15:58.023140,,
177,1,1671502925,450,active,1,56,11,False,0,450,1,1,0,2022-12-20 02:15:58.023140,,
178,1,1671502973,453,active,1,2,60,False,0,453,1,8,2,2022-12-20 02:15:58.023140,,
179,1,1671503144,454,active,1,23,9,False,0,454,1,1,1,2022-12-20 02:15:58.023140,,
180,1,1671499505,455,active,1,71,14,False,0,455,1,0,1,2022-12-20 02:15:58.023140,,
181,1,1671501789,456,active,1,42,8,False,0,456,1,0,0,2022-12-20 02:15:58.023140,,
182,1,1671503254,457,active,1,47,25,False,0,457,1,17,4,2022-12-20 02:15:58.023140,,
183,1,1671503246,458,active,1,12,32,False,0,458,1,9,1,2022-12-20 02:15:58.023140,,
184,1,1671502526,460,active,1,7,18,False,0,460,1,3,0,2022-12-20 02:15:58.023140,,
185,1,1671501622,461,active,1,33,22,False,0,461,1,5,1,2022-12-20 02:15:58.023140,,
186,1,1671502629,462,active,1,3,72,False,0,462,1,7,1,2022-12-20 02:15:58.023140,,
187,0,1665166826,464,out_of_service,0,1,0,False,0,464,0,0,0,2022-12-20 02:15:58.023140,,
188,1,1671502972,465,active,1,8,43,False,0,465,1,15,2,2022-12-20 02:15:58.023140,,
189,1,1671503035,466,active,1,3,29,False,0,466,1,5,1,2022-12-20 02:15:58.023140,,
190,1,1671502959,468,active,1,43,34,False,0,468,1,3,1,2022-12-20 02:15:58.023140,,
191,1,1671503112,469,active,1,43,40,False,0,469,1,11,2,2022-12-20 02:15:58.023140,,
192,1,1671501560,470,active,1,0,84,False,0,470,1,13,0,2022-12-20 02:15:58.023140,,
193,1,1671502932,471,active,1,11,18,False,0,471,1,7,2,2022-12-20 02:15:58.023140,,
194,1,1671502501,472,active,1,40,13,False,0,472,1,9,2,2022-12-20 02:15:58.023140,,
195,1,1671500969,473,active,1,0,63,False,0,473,1,17,1,2022-12-20 02:15:58.023140,,
196,1,1671502650,474,active,1,9,45,False,0,474,1,5,1,2022-12-20 02:15:58.023140,,
197,1,1671503150,476,active,1,41,23,False,0,476,1,13,0,2022-12-20 02:15:58.023140,,
198,0,1671501965,477,active,1,0,62,False,4,477,0,50,4,2022-12-20 02:15:58.023140,,
199,1,1671502959,478,active,1,21,27,False,0,478,1,12,4,2022-12-20 02:15:58.023140,,
200,1,1671503128,479,active,1,8,21,False,0,479,1,10,1,2022-12-20 02:15:58.023140,,
201,1,1671502801,480,active,1,17,10,False,0,480,1,8,2,2022-12-20 02:15:58.023140,,
202,1,1671502686,481,active,1,20,4,False,0,481,1,2,1,2022-12-20 02:15:58.023140,,
203,1,1671503258,482,active,1,2,74,False,0,482,1,4,2,2022-12-20 02:15:58.023140,,
204,1,1671502584,483,active,1,3,66,False,0,483,1,4,0,2022-12-20 02:15:58.023140,,
205,1,1671503028,484,active,1,56,10,False,0,484,1,10,0,2022-12-20 02:15:58.023140,,
206,1,1671503255,485,active,1,31,8,False,0,485,1,3,1,2022-12-20 02:15:58.023140,,
207,1,1671503162,486,active,1,27,9,False,0,486,1,7,5,2022-12-20 02:15:58.023140,,
208,1,1671502993,489,active,1,15,44,False,0,489,1,10,6,2022-12-20 02:15:58.023140,,
209,1,1671502210,490,active,1,49,44,False,0,490,1,20,1,2022-12-20 02:15:58.023140,,
210,1,1671502863,494,active,1,6,58,False,0,494,1,13,1,2022-12-20 02:15:58.023140,,
211,1,1671503160,495,active,1,25,14,False,0,495,1,6,0,2022-12-20 02:15:58.023140,,
212,1,1671503199,496,active,1,12,48,False,0,496,1,5,5,2022-12-20 02:15:58.023140,,
213,1,1671502948,497,active,1,12,49,False,0,497,1,5,4,2022-12-20 02:15:58.023140,,
214,1,1671503208,500,active,1,52,23,False,0,500,1,0,3,2022-12-20 02:15:58.023140,,
215,1,1671503258,501,active,1,40,37,False,0,501,1,9,4,2022-12-20 02:15:58.023140,,
216,1,1671502817,502,active,1,5,27,False,0,502,1,15,4,2022-12-20 02:15:58.023140,,
217,1,1671502663,503,active,1,8,37,False,0,503,1,4,0,2022-12-20 02:15:58.023140,,
218,1,1671503167,504,active,1,34,17,False,0,504,1,2,2,2022-12-20 02:15:58.023140,,
219,1,1671502858,505,active,1,0,44,False,0,505,1,19,4,2022-12-20 02:15:58.023140,,
