,is_returning,legacy_id,num_bikes_disabled,num_docks_available,num_docks_disabled,station_status,is_renting,num_ebikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,num_bikes_available,last_update,num_scooters_unavailable,num_scooters_available
79,1,3108,1,28,0,active,1,5,1,1691025512,66dd1c7f-0aca-11e7-82f6-3863bb44ef7c,False,18,2023-08-03 01:15:09.494449,0.0,0.0
80,1,4459,0,9,0,active,1,2,1,1691025509,59b747c1-fbfb-4a3d-9394-8d06834d7c98,False,12,2023-08-03 01:15:09.494449,0.0,0.0
81,1,4590,3,15,0,active,1,0,1,1691025510,c71cca54-17f6-42bc-ba94-3f5bd9c70197,False,28,2023-08-03 01:15:09.494449,0.0,0.0
82,1,3896,0,18,0,active,1,0,1,1691025512,26cae473-0e59-4af7-bad5-bb6fec85c8bc,False,4,2023-08-03 01:15:09.494449,0.0,0.0
83,1,3849,1,1,0,active,1,1,1,1691025507,498d7e8e-5164-4f26-9ce6-399947d73b1a,False,15,2023-08-03 01:15:09.494449,0.0,0.0
84,1,4961,2,0,0,active,1,1,1,1691025508,525535e3-dde3-47b4-9c2e-0174eaa4f2bb,False,19,2023-08-03 01:15:09.494449,0.0,0.0
85,1,3554,1,17,0,active,1,0,1,1691025508,0687075b-cf2d-4130-a859-fe841aafbd3f,False,9,2023-08-03 01:15:09.494449,0.0,0.0
86,1,1822663031356509142,0,0,0,active,1,8,1,1691025513,1822663031356509142,False,21,2023-08-03 01:15:09.494449,0.0,0.0
87,1,3297,1,18,0,active,1,0,1,1691025514,66dde69c-0aca-11e7-82f6-3863bb44ef7c,False,2,2023-08-03 01:15:09.494449,0.0,0.0
88,1,4642,8,59,0,active,1,2,1,1691025514,64f0f28c-bedc-42d5-b107-ecdd48fc30cd,False,8,2023-08-03 01:15:09.494449,0.0,0.0
89,1,3233,7,54,0,active,1,0,1,1691025511,66dd9fa6-0aca-11e7-82f6-3863bb44ef7c,False,0,2023-08-03 01:15:09.494449,0.0,0.0
90,1,3330,2,2,0,active,1,0,1,1691025521,66de0a78-0aca-11e7-82f6-3863bb44ef7c,False,14,2023-08-03 01:15:09.494449,0.0,0.0
