,num_bikes_available,station_id,legacy_id,station_status,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_disabled,is_installed,is_renting,is_returning,last_update,valet,eightd_active_station_services
156,4,420,420,active,False,0,44,2,1671325924,3,1,1,1,2022-12-18 01:15:16.607891,,
157,10,421,421,active,False,0,9,2,1671325351,0,1,1,1,2022-12-18 01:15:16.607891,,
158,3,422,422,active,False,0,112,2,1671325882,1,1,1,1,2022-12-18 01:15:16.607891,,
159,3,423,423,active,False,0,39,2,1671326082,0,1,1,1,2022-12-18 01:15:16.607891,,
160,69,426,426,active,False,0,6,5,1671325960,2,1,1,1,2022-12-18 01:15:16.607891,,
161,55,427,427,active,False,0,13,3,1671325751,0,1,1,1,2022-12-18 01:15:16.607891,,
162,45,428,428,active,False,0,9,7,1671324975,3,1,1,1,2022-12-18 01:15:16.607891,,
163,6,432,432,active,False,0,39,2,1671325889,0,1,1,1,2022-12-18 01:15:16.607891,,
164,57,434,434,active,False,0,1,8,1671326140,2,1,1,1,2022-12-18 01:15:16.607891,,
165,66,435,435,active,False,0,4,12,1671326160,2,1,1,1,2022-12-18 01:15:16.607891,,
166,8,436,436,active,False,0,18,2,1671324830,1,1,1,1,2022-12-18 01:15:16.607891,,
167,16,437,437,active,False,0,5,2,1671326151,2,1,1,1,2022-12-18 01:15:16.607891,,
168,64,438,438,active,False,0,5,7,1671326120,0,1,1,1,2022-12-18 01:15:16.607891,,
169,38,439,439,active,False,0,1,10,1671325280,2,1,1,1,2022-12-18 01:15:16.607891,,
170,11,440,440,active,False,0,20,5,1671325148,1,1,1,1,2022-12-18 01:15:16.607891,,
171,25,442,442,active,False,0,21,1,1671325670,1,1,1,1,2022-12-18 01:15:16.607891,,
172,11,443,443,active,False,0,6,0,1671325036,5,1,1,1,2022-12-18 01:15:16.607891,,
173,18,445,445,active,False,0,87,9,1671325948,0,1,1,1,2022-12-18 01:15:16.607891,,
174,61,446,446,active,False,0,16,8,1671325956,2,1,1,1,2022-12-18 01:15:16.607891,,
175,3,447,447,active,False,0,25,2,1671325442,0,1,1,1,2022-12-18 01:15:16.607891,,
