,eightd_has_available_keys,last_reported,num_docks_available,num_ebikes_available,is_installed,num_bikes_disabled,station_status,legacy_id,is_returning,num_docks_disabled,is_renting,num_bikes_available,station_id,last_update
247,False,1672013928,3,0,1,1,active,2008,1,0,1,30,2008,2022-12-26 01:15:06.645988
248,False,1672014310,5,2,1,3,active,2009,1,0,1,27,2009,2022-12-26 01:15:06.645988
249,False,1672013110,1,5,1,3,active,2010,1,0,1,37,2010,2022-12-26 01:15:06.645988
250,False,1672016110,47,1,1,2,active,2012,1,0,1,9,2012,2022-12-26 01:15:06.645988
251,False,1672010983,43,0,1,4,active,2017,1,0,1,3,2017,2022-12-26 01:15:06.645988
252,False,1672017264,57,0,1,5,active,2021,1,0,1,2,2021,2022-12-26 01:15:06.645988
253,False,1672005399,20,0,1,2,active,2022,1,0,1,11,2022,2022-12-26 01:15:06.645988
254,False,1672001248,0,0,1,50,active,3016,0,3,0,0,3016,2022-12-26 01:15:06.645988
255,False,1672011158,21,1,1,0,active,3041,1,0,1,3,3041,2022-12-26 01:15:06.645988
256,False,1672010748,17,1,1,1,active,3042,1,0,1,1,3042,2022-12-26 01:15:06.645988
257,False,1672007249,14,1,1,3,active,3043,1,0,1,2,3043,2022-12-26 01:15:06.645988
258,False,1672002415,21,0,1,0,active,3044,1,0,1,4,3044,2022-12-26 01:15:06.645988
259,False,1672005673,14,1,1,0,active,3046,1,0,1,5,3046,2022-12-26 01:15:06.645988
260,False,1672010377,6,1,1,2,active,3047,1,0,1,13,3047,2022-12-26 01:15:06.645988
261,False,86400,0,0,0,0,out_of_service,3048,0,0,0,0,3048,2022-12-26 01:15:06.645988
262,False,1671999782,15,0,1,1,active,3049,1,0,1,2,3049,2022-12-26 01:15:06.645988
263,False,1672010137,17,1,1,0,active,3050,1,0,1,4,3050,2022-12-26 01:15:06.645988
264,False,1672016989,2,3,1,0,active,3052,1,0,1,19,3052,2022-12-26 01:15:06.645988
265,False,1672013692,15,3,1,2,active,3053,1,0,1,5,3053,2022-12-26 01:15:06.645988
266,False,1672009415,15,0,1,1,active,3054,1,0,1,3,3054,2022-12-26 01:15:06.645988
267,False,1672005921,15,5,1,0,active,3055,1,0,1,7,3055,2022-12-26 01:15:06.645988
