,is_renting,num_bikes_disabled,legacy_id,num_bikes_available,is_installed,num_docks_disabled,station_status,station_id,num_ebikes_available,last_reported,eightd_has_available_keys,is_returning,num_docks_available,last_update,num_scooters_available,num_scooters_unavailable
270,1,6,393,18,1,0,active,66dbec40-0aca-11e7-82f6-3863bb44ef7c,3,1690680141,False,1,31,2023-07-30 01:15:08.977683,0.0,0.0
271,1,2,3524,19,1,0,active,3e1bdcec-e762-4e83-b447-007f05923cce,0,1690680140,False,1,2,2023-07-30 01:15:08.977683,0.0,0.0
272,1,4,4508,9,1,0,active,62f8f806-bd04-4282-9c5d-ad4293644e3c,0,1690680140,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
273,1,1,3330,16,1,0,active,66de0a78-0aca-11e7-82f6-3863bb44ef7c,1,1690680140,False,1,1,2023-07-30 01:15:08.977683,0.0,0.0
274,1,0,3779,23,1,1,active,c4e9905f-457b-4be0-a878-2aa53fa0b09b,3,1690680140,False,1,0,2023-07-30 01:15:08.977683,0.0,0.0
275,1,5,4736,45,1,0,active,96e72113-3681-4d19-88bb-032e76720093,5,1690680139,False,1,5,2023-07-30 01:15:08.977683,0.0,0.0
276,1,1,3508,21,1,0,active,dccaeeb5-c53a-4f48-80e6-05675b71a8c8,0,1690680139,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
277,1,0,4930,4,1,0,active,d18512f9-52c8-4175-92b9-b6258dc30748,2,1690680139,False,1,16,2023-07-30 01:15:08.977683,0.0,0.0
278,1,2,4001,12,1,0,active,b0bac4ef-bb57-4598-a433-75c281170d5b,0,1690680139,False,1,10,2023-07-30 01:15:08.977683,0.0,0.0
279,1,0,4311,14,1,0,active,e152a2e1-c510-404e-a100-24246bb6cc95,0,1690680139,False,1,5,2023-07-30 01:15:08.977683,0.0,0.0
280,1,4,3554,4,1,0,active,0687075b-cf2d-4130-a859-fe841aafbd3f,0,1690680139,False,1,19,2023-07-30 01:15:08.977683,0.0,0.0
281,1,1,4382,17,1,0,active,29a41b09-698f-43e2-82ff-f94f73e74841,0,1690680139,False,1,1,2023-07-30 01:15:08.977683,0.0,0.0
282,1,1,3765,8,1,0,active,e35c42c6-8b73-4528-b08d-c94b75624b40,1,1690680139,False,1,12,2023-07-30 01:15:08.977683,0.0,0.0
283,1,2,4304,2,1,0,active,77e31650-e86a-4b06-b2de-b92df2a7a7f5,0,1690680142,False,1,26,2023-07-30 01:15:08.977683,0.0,0.0
284,1,2,3297,2,1,0,active,66dde69c-0aca-11e7-82f6-3863bb44ef7c,1,1690680142,False,1,17,2023-07-30 01:15:08.977683,0.0,0.0
285,1,0,4961,20,1,0,active,525535e3-dde3-47b4-9c2e-0174eaa4f2bb,0,1690680142,False,1,1,2023-07-30 01:15:08.977683,0.0,0.0
286,1,2,4557,1,1,0,active,b4f990dd-36bb-46b3-9eea-4b980bd43c2d,0,1690680142,False,1,21,2023-07-30 01:15:08.977683,0.0,0.0
287,1,3,82,19,1,0,active,66db277a-0aca-11e7-82f6-3863bb44ef7c,6,1690680142,False,1,5,2023-07-30 01:15:08.977683,0.0,0.0
288,1,2,4006,21,1,0,active,4c03fa2d-89da-4f0b-8f19-c7de5edbe256,0,1690680143,False,1,2,2023-07-30 01:15:08.977683,0.0,0.0
289,1,3,469,14,1,0,active,66dc2c78-0aca-11e7-82f6-3863bb44ef7c,1,1690680147,False,1,67,2023-07-30 01:15:08.977683,0.0,0.0
290,1,3,4303,7,1,0,active,0f98907a-d4cc-45e0-b174-7d9dfda74106,2,1690680147,False,1,21,2023-07-30 01:15:08.977683,0.0,0.0
291,1,0,3284,17,1,0,active,66dde103-0aca-11e7-82f6-3863bb44ef7c,1,1690680147,False,1,19,2023-07-30 01:15:08.977683,0.0,0.0
292,1,5,3537,0,1,0,active,c3189056-8eda-4278-891f-e8e15c2d759a,0,1690680147,False,1,24,2023-07-30 01:15:08.977683,0.0,0.0
293,1,1,3522,10,1,0,active,0630217a-3913-47d9-9540-cf85688296a5,2,1690680147,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
294,1,11,490,26,1,0,active,66dc686c-0aca-11e7-82f6-3863bb44ef7c,2,1690680148,False,1,58,2023-07-30 01:15:08.977683,0.0,0.0
295,1,0,3820,11,1,0,active,493e046c-5d62-4772-90c4-b6a9f4afcd39,1,1690680148,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
296,1,4,4699,27,1,0,active,645e4365-653f-48ce-bc15-5fcc287be56f,10,1690680148,False,1,38,2023-07-30 01:15:08.977683,0.0,0.0
297,1,0,4751,7,1,0,active,f3782e27-c49a-4ee9-b188-0c13cad54688,0,1690680148,False,1,14,2023-07-30 01:15:08.977683,0.0,0.0
298,1,8,422,6,1,2,active,66dc0dab-0aca-11e7-82f6-3863bb44ef7c,2,1690680143,False,1,99,2023-07-30 01:15:08.977683,0.0,0.0
299,1,2,3387,18,1,0,active,66de43a5-0aca-11e7-82f6-3863bb44ef7c,2,1690680143,False,1,5,2023-07-30 01:15:08.977683,0.0,0.0
300,1,2,3424,24,1,0,active,66de677e-0aca-11e7-82f6-3863bb44ef7c,0,1690680146,False,1,1,2023-07-30 01:15:08.977683,0.0,0.0
